Area,L & B Cancer Deaths,All Cancers Deaths
Alabama,3009,27195
Alaska,230,2882
Arizona,2702,31443
Arkansas,2006,17053
California,11739,164887
Colorado,1590,23244
Connecticut,1572,21117
Delaware,556,6001
District of Columbia,186,2566
Florida,11217,119408
Georgia,4400,52056
Hawaii,543,7395
Idaho,579,8354
Illinois,6242,68954
Indiana,3861,34260
Iowa,1668,18146
Kansas,1364,15312
Kentucky,3328,27137
Louisiana,2494,25451
Maine,914,8901
Maryland,2639,30942
Massachusetts,3169,33626
Michigan,5528,53911
Minnesota,2329,29619
Mississippi,1903,16265
Missouri,3706,33171
Montana,477,6194
Nebraska,856,9838
Nevada,1267,13054
New Hampshire,798,8442
New Jersey,3703,51521
New Mexico,701,9075
New York,8135,113026
North Carolina,5573,55394
North Dakota,304,3765
Ohio,7105,65645
Oklahoma,2300,20167
Oregon,1891,20596
Pennsylvania,7173,80089
Rhode Island,570,5972
South Carolina,2704,27313
South Dakota,420,4612
Tennessee,4337,36598
Texas,9193,109083
Utah,468,10494
Vermont,366,3681
Virginia,3759,40322
Washington,2911,37378
West Virginia,1392,11698
Wisconsin,2788,32688
Wyoming,204,2775
